// $ID$
㎜	mm
㎝	cm
㎞	km
㎎	mg
㎏	kg
㏄	cc
№	No.
㏍	k.k.
℡	TEL
㊤	上
㊥	中
㊦	下
㊧	左
㊨	右
㈱	(株)
㈲	(有)
㈹	(代)
㍾	明治
㍽	大正
㍼	昭和
㍻	平成
Ⅰ	I
Ⅱ	II
Ⅲ	III
Ⅳ	IV
Ⅴ	V
Ⅵ	VI
Ⅶ	VII
Ⅷ	VIII
Ⅸ	IX
Ⅹ	X
㍉	ミリ
㌔	キロ
㌢	センチ
㍍	メートル
㌘	グラム
㌧	トン
㌃	アール
㌶	ヘクタール
㍑	リットル
㍗	ワットル
㌍	カロリー
㌦	ドル
㌣	セント
㌫	パーセント
㍊	ミリバール
㌻	ページ
①	(1)
②	(2)
③	(3)
④	(4)
⑤	(5)
⑥	(6)
⑦	(7)
⑧	(8)
⑨	(9)
⑩	(10)
⑪	(11)
⑫	(12)
⑬	(13)
⑭	(14)
⑮	(15)
⑯	(16)
⑰	(17)
⑱	(18)
⑲	(19)
⑳	(20)
